Constituency,Candidate
Niphad,ChidambarPanicker
Niphad,PranBanerjee
Niphad,KamaVarma
Teosa,TarunDesai
Teosa,RageshwariNaik
Teosa,AmareshKakkar
Teosa,RajAsan
Teosa,KamalaSaini
Teosa,BhagwantiPatel
Teosa,VinayDeshpande
Ulhasnagar,AnamikaPilla
Ulhasnagar,SwaraIyer
Ulhasnagar,BhavesChaturvedi
Ulhasnagar,DeeptenduMenon
Ulhasnagar,MeghnadPrajapat
Ulhasnagar,DhanapatiKhan
Kaij,AnaghBanerjee
Kaij,ChaitanSharma
Hingna,BaijayantiJain
Hingna,ShardaAdiga
Hingna,HiranyaKhatri
Baglan,UrmilaBhat
Baglan,KanakPandey
Baglan,DiptenduNamboothiri
Chembur,VedaNaik
Chembur,DinakarShah
Chembur,ChandramohanAhuja
Chembur,SanyaKaniyar
Mukhed,BhooshitDwivedi
Mukhed,BhaaswarMarar
Mukhed,NawalTandon
Mukhed,BhooshanKaniyar
Mukhed,UditGill
Mahad,LakshmanPillai
Mahad,AmritaJha
Mahad,BhishamGandhi
Karanja,SwarnalataJoshi
Karanja,NavinGupta
Karanja,AnalMalik
Karanja,PoornimaTalwar
