Voter,Constituency,PollingStation,Candidate
v0,Baglan,p26,UrmilaBhat
v1,Mukhed,p38,BhooshanKaniyar
v2,Baglan,p29,KanakPandey
v3,Karanja,p45,PoornimaTalwar
v4,Chembur,p31,VedaNaik
v5,Hingna,p20,HiranyaKhatri
v6,Karanja,p46,NOTA
v7,Baglan,p25,NOTA
v8,Mukhed,p38,UditGill
v9,Chembur,p32,SanyaKaniyar
v10,Chembur,p34,VedaNaik
v11,Karanja,p45,NavinGupta
v12,Mukhed,p38,BhooshanKaniyar
v13,Kaij,p19,NOTA
v14,Karanja,p46,NavinGupta
v15,Mukhed,p39,BhooshitDwivedi
v16,Mahad,p42,NOTA
v17,Chembur,p33,DinakarShah
v18,Mahad,p40,AmritaJha
v19,Mukhed,p36,BhooshanKaniyar
v20,Baglan,p27,KanakPandey
v21,Teosa,p8,TarunDesai
v22,Chembur,p30,SanyaKaniyar
v23,Niphad,p3,PranBanerjee
v24,Ulhasnagar,p13,MeghnadPrajapat
v25,Teosa,p9,BhagwantiPatel
v26,Teosa,p9,RageshwariNaik
v27,Kaij,p19,NOTA
v28,Mukhed,p39,BhaaswarMarar
v29,Hingna,p21,HiranyaKhatri
v30,Mahad,p44,LakshmanPillai
v31,Karanja,p48,SwarnalataJoshi
v32,Chembur,p30,NOTA
v33,Baglan,p29,UrmilaBhat
v34,Hingna,p22,ShardaAdiga
v35,Kaij,p15,ChaitanSharma
v36,Hingna,p20,BaijayantiJain
v37,Kaij,p16,NOTA
v38,Chembur,p34,ChandramohanAhuja
v39,Niphad,p2,PranBanerjee
v40,Teosa,p9,VinayDeshpande
v41,Niphad,p0,KamaVarma
v42,Karanja,p46,NavinGupta
v43,Chembur,p31,NOTA
v44,Hingna,p22,NOTA
v45,Teosa,p5,BhagwantiPatel
v46,Mahad,p43,AmritaJha
v47,Mukhed,p39,BhooshitDwivedi
v48,Chembur,p34,VedaNaik
v49,Baglan,p25,KanakPandey
v50,Ulhasnagar,p11,NOTA
v51,Ulhasnagar,p11,AnamikaPilla
v52,Ulhasnagar,p13,AnamikaPilla
v53,Mahad,p41,AmritaJha
v54,Mukhed,p35,NOTA
v55,Niphad,p1,PranBanerjee
v56,Hingna,p24,HiranyaKhatri
v57,Niphad,p0,KamaVarma
v58,Niphad,p2,KamaVarma
v59,Niphad,p3,PranBanerjee
v60,Hingna,p22,HiranyaKhatri
v61,Karanja,p49,SwarnalataJoshi
v62,Mukhed,p39,NOTA
v63,Teosa,p7,NOTA
v64,Karanja,p45,NOTA
v65,Baglan,p26,DiptenduNamboothiri
v66,Ulhasnagar,p10,DhanapatiKhan
v67,Karanja,p49,NavinGupta
v68,Baglan,p26,NOTA
v69,Karanja,p49,SwarnalataJoshi
v70,Chembur,p33,ChandramohanAhuja
v71,Karanja,p45,NOTA
v72,Chembur,p34,ChandramohanAhuja
v73,Hingna,p20,HiranyaKhatri
v74,Karanja,p49,NavinGupta
v75,Teosa,p5,AmareshKakkar
v76,Chembur,p32,SanyaKaniyar
v77,Teosa,p6,KamalaSaini
v78,Niphad,p4,PranBanerjee
v79,Baglan,p29,KanakPandey
v80,Ulhasnagar,p12,MeghnadPrajapat
v81,Mukhed,p37,BhooshanKaniyar
v82,Mahad,p44,NOTA
v83,Mukhed,p39,BhooshitDwivedi
v84,Karanja,p45,NavinGupta
v85,Chembur,p33,VedaNaik
v86,Karanja,p47,NavinGupta
v87,Chembur,p30,NOTA
v88,Mukhed,p38,NawalTandon
v89,Mahad,p44,LakshmanPillai
v90,Karanja,p48,NavinGupta
v91,Kaij,p16,NOTA
v92,Chembur,p32,DinakarShah
v93,Mukhed,p36,NOTA
v94,Karanja,p49,SwarnalataJoshi
v95,Teosa,p7,VinayDeshpande
v96,Teosa,p6,TarunDesai
v97,Ulhasnagar,p13,SwaraIyer
v98,Mahad,p43,AmritaJha
v99,Chembur,p31,NOTA
v100,Ulhasnagar,p12,BhavesChaturvedi
v101,Teosa,p5,RajAsan
v102,Niphad,p1,PranBanerjee
v103,Kaij,p15,ChaitanSharma
v104,Hingna,p20,NOTA
v105,Mahad,p41,AmritaJha
v106,Chembur,p34,NOTA
v107,Karanja,p47,SwarnalataJoshi
v108,Chembur,p33,SanyaKaniyar
v109,Hingna,p24,HiranyaKhatri
v110,Chembur,p33,VedaNaik
v111,Karanja,p46,AnalMalik
v112,Chembur,p34,NOTA
v113,Mukhed,p35,BhaaswarMarar
v114,Mahad,p43,LakshmanPillai
v115,Niphad,p2,PranBanerjee
v116,Chembur,p34,VedaNaik
v117,Hingna,p22,ShardaAdiga
v118,Mukhed,p37,NawalTandon
v119,Karanja,p49,NOTA
v120,Baglan,p27,NOTA
v121,Ulhasnagar,p12,MeghnadPrajapat
v122,Baglan,p28,KanakPandey
v123,Mukhed,p38,BhooshitDwivedi
v124,Hingna,p24,BaijayantiJain
v125,Karanja,p46,AnalMalik
v126,Teosa,p8,KamalaSaini
v127,Mukhed,p36,NOTA
v128,Teosa,p7,KamalaSaini
